Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
botox for migraines cost with insurance,53,53,50,18,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,111,"[4,5,4,0,0,5,5,3,7,7,7,10]",2026-03-22,"Sitelinks, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
botox for migraines cost with insurance,77,77,50,18,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,111,"[4,5,4,0,0,5,5,3,7,7,7,10]",2026-03-22,"Sitelinks, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
botox saving,59,59,70,19,1.42,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.37,113,"[63,63,63,63,63,45,63,63,81,63,81,81]",2026-04-03,"Video, Related searches",informational,Organic
headache treatment chicago,19,19,50,22,0.00,https://theheadachelab.com/,0,0,0.00,0.1,0,"[33,22,33,22,22,22,77,100,55,100,100,100]",2026-03-12,"Local pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
headache treatment chicago,45,45,50,22,0.00,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.1,0,"[33,22,33,22,22,22,77,100,55,100,100,100]",2026-03-12,"Local pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
headache treatment chicago,54,54,50,22,0.00,https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,0,0.00,0.1,0,"[33,22,33,22,22,22,77,100,55,100,100,100]",2026-03-12,"Local pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
eye twitching botox,36,36,50,0,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,146,"[63,36,63,45,36,36,45,36,18,36,36,36]",2026-03-14,"Image pack, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
do i have a migraine quiz,57,57,110,13,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,20800000,"[10,6,5,8,10,10,8,10,10,10,10,13]",2026-02-18,"Image pack, Video, People also ask, Related searches",informational,Organic
botox savings,31,31,720,28,3.28,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.39,0,"[88,100,100,100,72,59,59,59,59,59,48,48]",2026-03-10,"Sitelinks, Video, Related searches",transactional,Organic
botox savings programs,25,25,50,30,1.50,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.18,704000,"[0,0,0,20,1,2,1,1,1,1,1,1]",2026-02-13,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
diamond headache chicago,66,66,110,28,3.68,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.16,122,"[35,28,23,28,28,35,12,35,35,23,23,28]",2026-03-26,"Knowledge panel, Video, Image, Related searches","informational, transactional",Organic
headaches/migraines rockford,54,54,70,2,0.00,https://theheadachelab.com/,0,0,0.00,0,0,"[71,71,100,100,100]",2026-03-12,"Knowledge panel, Video",informational,Organic
headaches/migraines rockford,79,79,70,2,0.00,https://theheadachelab.com/our-story-migraine-treatment-evergreen-park/,0,0,0.00,0,0,"[71,71,100,100,100]",2026-03-12,"Knowledge panel, Video",informational,Organic
botox reimbursement,77,77,590,34,9.35,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.38,1280000,"[54,67,67,81,81,81,67,67,67,67,54,44]",2026-02-08,"Image pack, Sitelinks, Video, People also ask, Related searches","navigational, transactional",Organic
neck pain treatment westmont,29,0,50,0,0.00,https://theheadachelab.com/chronic-headache-treatment/,0,0,0.00,0,127000,"[7,28,21,35,35,35,100,100,64,21,35,35]",2026-04-04,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
botox savings program number,28,28,90,19,1.89,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.22,66,"[100,100,100,78,100,64,64,64,64,14,14,14]",2026-03-18,"Video, Related searches, AI overview",informational,Organic
botox for cervicogenic headache,44,44,70,19,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,0,"[81,100,81,81,63,45,81,63,45,63,63,63]",2026-03-14,"Image pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
botox for cervicogenic headache,51,51,70,19,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,0,"[81,100,81,81,63,45,81,63,45,63,63,63]",2026-03-14,"Image pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
botox assistance program,76,76,260,31,12.80,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.37,3550000,"[19,36,44,44,36,29,36,36,29,36,36,36]",2026-02-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
botox assistance program,84,84,260,31,12.80,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.37,3550000,"[19,36,44,44,36,29,36,36,29,36,36,36]",2026-02-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
botox copay card,57,57,480,26,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,0,"[100,81,81,81,66,66,66,66,54,54,44,44]",2026-03-11,Related searches,commercial,Organic
botox rebate program,46,46,40,34,14.34,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,69000,"[9,9,19,23,14,14,9,14,19,23,42,42]",2026-02-24,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
how much does botox savings program reimburse,26,26,140,24,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.06,8470,"[80,100,66,100,80,66,52,52,52,52,23,23]",2026-03-01,"Video, People also ask, Related searches, AI overview",informational,Organic
abbvie botox assistance program,40,40,30,46,2.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.41,4500,"[100,63,27,18,18,18,18,18,18,18,18,36]",2026-03-18,Related searches,"informational, transactional",Organic
migraine and headache program,70,70,50,,0.00,https://theheadachelab.com/,0,0,0.00,0,224,"[17,29,5,17,23,17,64,52,41,0,17,64]",2026-03-12,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
for eyes evergreen park,26,26,70,17,1.98,https://theheadachelab.com/blepharospasm-treatment-evergreen-park/,0,0,0.00,0.45,6660000,"[41,41,23,52,100,64,52,29,41,23,23,17]",2026-03-27,"Knowledge panel, Video, Image, Related searches","navigational, transactional",Organic
robbins headache clinic illinois,40,40,90,13,3.52,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.06,103,"[52,64,23,52,82,82,52,5,64,82,64,11]",2026-03-21,"Knowledge panel, Sitelinks, Image, Related searches","informational, navigational",Organic
eyelid twitching after botox,41,41,40,,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,2060000,"[42,57,57,57,57,42,42,57,42,57,100,57]",2026-03-13,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox and cervical dystonia,45,45,390,26,4.59,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0.12,134000,"[17,14,26,48,88,39,48,100,21,48,11,26]",2026-02-20,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox and cervical dystonia,68,68,390,26,4.59,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0.12,134000,"[17,14,26,48,88,39,48,100,21,48,11,26]",2026-02-20,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
allergan botox savings program,68,68,50,33,2.34,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.31,26400,"[21,14,21,78,21,21,28,28,28,35,35,64]",2026-02-18,"Sitelinks, Video, People also ask, Related searches, AI overview",navigational,Organic
allergan botox savings program,79,79,50,33,2.34,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.31,26400,"[21,14,21,78,21,21,28,28,28,35,35,64]",2026-02-18,"Sitelinks, Video, People also ask, Related searches, AI overview",navigational,Organic
where do you get botox for migraines,51,51,320,33,0.00,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0,8510000,"[8,13,13,16,5,13,16,16,13,13,16,100]",2026-02-22,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
where do you get botox for migraines,62,62,320,33,0.00,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0,8510000,"[8,13,13,16,5,13,16,16,13,13,16,100]",2026-02-22,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox injections for cervical dystonia,22,22,40,38,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,531000,"[45,36,36,36,27,36,27,45,36,36,36,45]",2026-02-21,"Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox for cervical dystonia side effects,75,75,90,25,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,0,"[63,100,81,100,81,81,100,81,100,81,27,45]",2026-02-24,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
where do they inject botox for eye twitching,30,30,40,11,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.33,182,"[18,27,45,45,63,45,45,18,18,18,36,18]",2026-03-23,"Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox savings program reviews,27,27,50,19,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,763000,"[50,50,50,35,35,35,28,21,64,35,35,50]",2026-02-21,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
my botox savings plan,21,21,110,20,0.72,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.29,110,"[52,82,29,82,82,100,52,41,64,23,41,82]",2026-03-16,"Video, Related searches, AI overview",informational,Organic
abbvie botox savings program,17,17,110,22,1.54,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.38,84,"[17,52,100,100,100,82,64,64,64,82,64,52]",2026-03-31,"Video, Related searches, AI overview",informational,Organic
blepharospasm near me,18,18,40,25,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,0,"[33,11,33,22,11,22,77,100,44,100,77,77]",2026-03-12,"Local pack, Image, Related searches",transactional,Organic
blepharospasm near me,47,47,40,25,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,0,"[33,11,33,22,11,22,77,100,44,100,77,77]",2026-03-12,"Local pack, Image, Related searches",transactional,Organic
botox discount program,44,47,40,21,4.10,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.58,106,"[1,1,0,1,1,1,1,1,1,2,2,2]",2026-04-04,"Video, Image, Related searches, AI overview",informational,Organic
the headache institute,13,13,40,41,3.65,https://theheadachelab.com/,0,0,0.00,0.15,104000000,"[36,45,45,36,36,63,27,36,27,27,18,27]",2026-02-20,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
the headache institute,24,24,40,41,3.65,https://theheadachelab.com/,0,0,0.00,0.15,104000000,"[36,45,45,36,36,63,27,36,27,27,18,27]",2026-02-20,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
cervical dystonia treatment near me,18,18,50,6,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,0,"[28,57,42,57,42,42,100,100,71,57,100,71]",2026-03-12,"Local pack, Video, Image, Related searches, AI overview","informational, transactional",Organic
cervical dystonia treatment near me,33,33,50,6,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,0,"[28,57,42,57,42,42,100,100,71,57,100,71]",2026-03-12,"Local pack, Video, Image, Related searches, AI overview","informational, transactional",Organic
migraine treatment loves park,16,16,40,0,0.00,https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,0,0.00,0.33,3920000,"[4,9,4,4,9,4,14,19,9,14,100,9]",2026-03-19,"Local pack, Video, AI overview",informational,Organic
migraine treatment loves park,22,22,40,0,0.00,https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,0,0.00,0.33,3920000,"[4,9,4,4,9,4,14,19,9,14,100,9]",2026-03-19,"Local pack, Video, AI overview",informational,Organic
migraine treatment loves park,67,67,40,0,0.00,https://theheadachelab.com/our-story-migraine-treatment-evergreen-park/,0,0,0.00,0.33,3920000,"[4,9,4,4,9,4,14,19,9,14,100,9]",2026-03-19,"Local pack, Video, AI overview",informational,Organic
botox migraine savings program,12,12,70,21,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,37100,"[81,100,100,81,63,18,63,63,63,63,81,100]",2026-03-31,"Image, Related searches",informational,Organic
cervical dystonia botox treatment,24,24,40,23,5.07,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0.3,781000,"[14,14,14,14,14,14,14,28,50,28,35,100]",2026-02-22,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
eyebrow twitching and headaches,48,48,170,29,0.82,https://theheadachelab.com/botox-for-blepharospasm-evergreen-park-il/,0,0,0.00,0.04,0,"[0,0,0,0,100,0,0,0,0,0,0,0]",2026-03-06,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox.savings program,25,25,30,29,1.50,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.18,2010000,"[40,80,80,100,100,60,40,60,60,40,40,40]",2026-02-22,"Sitelinks, Video, Related searches",navigational,Organic
botox.savings program,30,30,30,29,1.50,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.18,2010000,"[40,80,80,100,100,60,40,60,60,40,40,40]",2026-02-22,"Sitelinks, Video, Related searches",navigational,Organic
botox savings program eligibility,78,78,50,36,2.78,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.14,31900,"[71,71,100,100,71,71,71,57,71,57,71,28]",2026-02-11,"Video, People also ask, Related searches, AI overview",informational,Organic
labs for migraines,28,28,50,21,0.00,https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,0,0.00,0,4400000,"[9,23,23,33,33,33,23,23,19,33,19,4]",2026-03-02,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
labs for migraines,42,42,50,21,0.00,https://theheadachelab.com/,0,0,0.00,0,4400000,"[9,23,23,33,33,33,23,23,19,33,19,4]",2026-03-02,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
labs for migraines,68,68,50,21,0.00,https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,0,0.00,0,4400000,"[9,23,23,33,33,33,23,23,19,33,19,4]",2026-03-02,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
chronic migraine quiz,24,24,50,13,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,13100000,"[17,17,11,17,11,17,29,41,52,41,52,52]",2026-03-25,"Video, Related searches",informational,Organic
chronic migraine quiz,32,32,50,13,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,13100000,"[17,17,11,17,11,17,29,41,52,41,52,52]",2026-03-25,"Video, Related searches",informational,Organic
botox for blepharospasm,37,37,90,2,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,573000,"[21,28,34,34,28,21,34,21,34,28,34,28]",2026-04-01,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox for blepharospasm,57,57,90,2,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,573000,"[21,28,34,34,28,21,34,21,34,28,34,28]",2026-04-01,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox savings program sign in,40,40,170,32,3.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,1610000,"[43,66,43,43,35,29,35,22,18,29,22,22]",2026-02-11,"Video, Related searches","navigational, transactional",Organic
botox savings program for migraines,3,3,50,28,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,20400,"[100,100,64,35,21,21,14,14,14,7,0,7]",2026-03-07,"Sitelinks, Related searches, AI overview",informational,AI overview
botox savings program for migraines,12,12,50,28,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,20400,"[100,100,64,35,21,21,14,14,14,7,0,7]",2026-03-07,"Sitelinks, Related searches, AI overview",informational,Organic
preempt protocol for botox,96,96,50,21,3.18,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0.05,6240,"[63,63,63,27,63,100,100,63,0,0,0,0]",2026-02-09,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
botoxsavings program,26,26,40,22,1.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.18,114,"[2,2,2,2,1,1,2,1,1,1,1,0]",2026-03-20,"Video, Image, Related searches",informational,Organic
blepharospasm treatment near me,19,19,40,13,2.89,https://theheadachelab.com/botox-for-blepharospasm-evergreen-park-il/,0,0,0.00,0.52,0,"[28,28,42,28,57,42,100,100,71,57,57,71]",2026-03-09,"Local pack, Video, Image, Related searches",transactional,Organic
botoxsavings,21,21,210,34,10.60,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,5130000,"[18,18,54,100,54,35,28,23,18,23,23,23]",2026-02-24,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox for cervical dystonia,43,43,320,29,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,846000,"[66,82,66,82,82,82,82,100,82,100,100,82]",2026-02-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
botox injections in neck,85,85,110,40,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,16100000,"[0,64,52,82,64,64,64,100,82,64,64,82]",2026-02-21,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
botox neck pain,64,64,90,30,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,27100000,"[6,8,5,13,8,3,3,6,6,3,5,3]",2026-02-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
diamond headache clinic chicago il,59,59,170,20,2.81,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.09,106,"[34,34,34,34,28,34,65,53,53,81,100,100]",2026-04-03,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",Organic
botox saving program,25,25,480,24,1.26,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.4,0,"[36,36,36,30,30,36,30,36,36,30,30,30]",2026-03-13,"Video, Related searches",commercial,Organic
botox savings plan login,53,53,90,29,0.83,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.26,1430000,"[21,28,28,21,28,34,28,28,34,34,15,21]",2026-02-21,"Video, People also ask, Related searches","navigational, transactional",Organic
the head clinic,15,15,110,22,4.54,https://theheadachelab.com/,0,0,0.00,0.08,660000000,"[52,33,42,66,52,42,52,100,42,66,66,66]",2026-03-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
migraine botox cost,46,46,90,21,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,2420000,"[78,100,78,100,78,64,64,78,50,35,28,35]",2026-03-30,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
headache or migraine quiz,40,40,40,13,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,2360000,"[14,21,21,28,14,14,21,28,28,50,35,35]",2026-02-17,"Video, People also ask, Related searches, Discussions and forums",commercial,Organic
does botox cause eye twitching,40,40,110,17,0.00,https://theheadachelab.com/botox-for-blepharospasm-evergreen-park-il/,0,0,0.00,0,1230000,"[100,78,78,78,100,100,78,78,100,78,100,35]",2026-02-06,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
does botox cause eye twitching,64,64,110,17,0.00,https://theheadachelab.com/botox-for-blepharospasm-evergreen-park-il/,0,0,0.00,0,1230000,"[100,78,78,78,100,100,78,78,100,78,100,35]",2026-02-06,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
botox program,27,27,210,42,35.56,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.49,55200000,"[15,23,23,23,19,23,23,23,19,23,19,19]",2026-02-28,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox program,35,35,210,42,35.56,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.49,55200000,"[15,23,23,23,19,23,23,23,19,23,19,19]",2026-02-28,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
