name,country,visibility,difficulty,mentions,gap_mentions,volume,volume_trend,intents
Neurology and Medical Care Experts,us,0,66,0,theheadachelab.com:0;northwestneuro.com:3;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1013,0;0;0;0;0;100;85;61;38;35;47;37,task:7;informational:52;navigational:6;commercial:29;transactional:6
Neurologists Named Lopez,us,0,64,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,973,0;0;0;0;0;22;15;15;100;100;69;48,task:3;informational:44;navigational:28;commercial:21;transactional:4
Neurologist and Neurosurgeon in Libertyville,us,0,24,0,theheadachelab.com:0;northwestneuro.com:7;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,829,0;0;0;0;0;100;67;83;77;67;62;65,task:2;informational:25;navigational:31;commercial:31;transactional:11
Neurologist Search and Consultation in Southfield MI,us,0,49,0,theheadachelab.com:0;northwestneuro.com:3;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,828,0;0;0;0;0;100;80;64;45;32;32;26,task:3;informational:43;navigational:35;commercial:9;transactional:10
Innovative Spas Virginia Beach,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,826,0;0;0;0;0;47;100;19;45;45;48;44,informational:19;navigational:47;commercial:30;transactional:4
Medical Injections and Healthcare Providers,us,0,37,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,814,0;0;0;0;0;79;100;68;60;62;39;33,task:2;informational:73;navigational:15;commercial:2;transactional:8
Plamere Plasma Pen and FDA-Approved Aesthetic Devices,us,0,42,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,805,0;0;0;0;0;88;86;33;68;74;84;100,task:2;informational:67;navigational:5;commercial:18;transactional:8
Chicago Facial and Spa Services,us,0,53,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,802,0;0;0;0;0;85;99;87;87;94;97;100,task:3;informational:31;navigational:18;commercial:39;transactional:9
Botox Deals and Prices in Major US Cities,us,0,50,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,733,0;0;0;0;0;100;67;25;26;46;44;30,task:1;informational:38;navigational:13;commercial:30;transactional:18
Neurology Services in Illinois,us,0,40,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,719,0;0;0;0;0;100;69;60;61;61;100;55,task:1;informational:38;navigational:16;commercial:33;transactional:12
George Katsamakis Medical Profile,us,0,40,0,theheadachelab.com:0;northwestneuro.com:13;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,661,0;0;0;0;0;100;69;69;40;50;57;36,task:10;informational:19;navigational:40;commercial:23;transactional:8
Dottore Andrea Dellaria,us,0,37,0,theheadachelab.com:0;northwestneuro.com:7;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,654,0;0;0;0;0;65;56;63;29;29;90;100,task:4;informational:21;navigational:44;commercial:27;transactional:4
Neurosurgery and Neurology Services in Bellingham,us,0,37,0,theheadachelab.com:0;northwestneuro.com:5;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,647,0;0;0;0;0;100;63;51;53;52;99;53,task:7;informational:26;navigational:45;commercial:12;transactional:10
Washington Neurology and Neuroscience Clinics,us,0,56,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,619,0;0;0;0;0;100;85;79;49;48;67;42,task:3;informational:27;navigational:48;commercial:13;transactional:9
Japanese Spa and Massage Services,us,0,44,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,600,0;0;0;0;0;100;63;65;12;14;15;59,task:7;informational:49;navigational:19;commercial:14;transactional:11
Chicago Facial and Neck Rejuvenation,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,580,0;0;0;0;0;15;18;34;68;74;100;83,task:2;informational:41;navigational:18;commercial:35;transactional:4
Neurohealth and Neurology Services in Arlington Heights,us,0,19,0,theheadachelab.com:0;northwestneuro.com:6;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,555,0;0;0;0;0;100;84;98;85;80;84;49,task:7;informational:28;navigational:29;commercial:27;transactional:9
Dr. Alexander Mauskop and Migraine Treatment,us,0,59,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,517,0;0;0;0;0;92;100;64;12;12;52;36,task:10;informational:45;navigational:3;commercial:34;transactional:8
Barrington Neurology and Dr. Barry Bikshorn,us,0,39,0,theheadachelab.com:0;northwestneuro.com:13;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,517,0;0;0;0;0;100;60;62;74;78;86;56,task:1;informational:30;navigational:39;commercial:28;transactional:2
Laser and Skin Clinics in Chicago,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,508,0;0;0;0;0;100;81;37;39;34;36;34,informational:35;navigational:33;commercial:26;transactional:6
Kybella and Fat Dissolving Injections in Chicago,us,0,37,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,489,0;0;0;0;0;80;76;99;100;99;88;83,task:5;informational:38;navigational:12;commercial:36;transactional:9
Skin Renewal and Spa Services,us,0,54,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,486,0;0;0;0;0;23;23;100;83;50;16;15,task:5;informational:34;navigational:12;commercial:42;transactional:7
Neuropsychologists in Vernon Hills,us,0,36,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,483,0;0;0;0;0;100;87;84;54;35;59;37,task:3;informational:38;navigational:50;commercial:5;transactional:4
Yakima Neurology and Neurologists,us,0,35,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,482,0;0;0;0;0;100;62;51;66;69;57;38,task:3;informational:33;navigational:27;commercial:29;transactional:8
Multiple Sclerosis Care in Chicago,us,0,34,0,theheadachelab.com:0;northwestneuro.com:4;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,472,0;0;0;0;0;87;100;82;77;77;48;41,informational:46;navigational:17;commercial:27;transactional:10
Neurology and Medical Expertise of Dr. Flaherty,us,0,61,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,466,0;0;0;0;0;81;78;89;100;93;96;26,task:3;informational:56;navigational:11;commercial:21;transactional:9
Thread Lift Chicago,us,0,26,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,459,0;0;0;0;0;50;65;65;80;100;90;90,task:5;informational:37;navigational:19;commercial:33;transactional:6
Dermaplaning and Peach Fuzz Treatments in Chicago,us,0,42,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,435,0;0;0;0;0;55;69;63;68;91;98;100,task:7;informational:38;navigational:17;commercial:33;transactional:5
Saba Neurologist and Medical Professional Network,us,0,50,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,411,0;0;0;0;0;100;75;83;54;37;45;36,task:3;informational:31;navigational:31;commercial:27;transactional:8
Migraine and Headache Clinics,ca,0,44,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,406,0;0;0;0;0;78;78;56;81;100;71;71,task:5;informational:43;navigational:12;commercial:34;transactional:6
Neurologists and Medical Professionals Named Anna Sorokin,us,0,53,0,theheadachelab.com:0;northwestneuro.com:12;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,397,0;0;0;0;0;100;61;55;51;51;60;32,task:7;informational:52;navigational:3;commercial:33;transactional:5
Dr. Monica Medrano,us,0,41,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,395,0;0;0;0;0;53;37;43;32;36;100;59,task:10;informational:44;navigational:31;commercial:11;transactional:4
Med Spa Services in Illinois,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,354,0;0;0;0;0;100;87;42;35;21;21;22,task:3;informational:45;navigational:20;commercial:16;transactional:16
"Retinol, Tretinoin, and Laser Hair Removal",us,0,35,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,350,0;0;0;0;0;93;100;93;93;93;93;93,task:2;informational:78;navigational:8;commercial:10;transactional:2
New Image Works Chicago Reviews,us,0,23,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,311,0;0;0;0;0;95;100;89;22;22;39;25,task:3;informational:46;navigational:20;commercial:23;transactional:8
Suburban Pulmonary and Sleep Care,us,0,29,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,307,0;0;0;0;0;100;72;60;61;59;24;20,task:1;informational:42;navigational:24;commercial:24;transactional:9
Transformations in Med Spa and Beauty,us,0,35,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,285,0;0;0;0;0;17;47;48;100;11;10;10,task:3;informational:46;navigational:11;commercial:29;transactional:11
Touch Med Spa and Aesthetic Clinics,us,0,41,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,269,0;0;0;0;0;55;46;37;33;100;77;37,task:3;informational:17;navigational:30;commercial:17;transactional:33
"Pain Relief and Medical Practice in Glenview, IL",us,0,28,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,260,0;0;0;0;0;100;67;52;43;43;28;21,task:3;informational:56;navigational:17;commercial:17;transactional:7
Enid Neurologists and Pediatric Care,us,0,25,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,254,0;0;0;0;0;100;80;97;54;47;52;20,task:3;informational:24;navigational:30;commercial:31;transactional:12
